Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Scan Line Corrector,Collection Category,Collection Number,Sensor Mode,WRS Path,WRS Row,Full Partial Scene,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality,Gain Change,Processing Software Version,Sun Elevation L1,Sun Azimuth L1,Gap Phase Source,Gap Phase Statistic,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L2,UTM Zone,Datum,Ellipsoid,Scan Gap Interpolation,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
LE07_L2SP_201024_20000619_20200918_02_T1,LE07_L1TP_201024_20000619_20200918_02_T1,LE72010242000171EDC00,2000/06/19,ON,T1,2,, 201, 024,FULL,2020/09/18,2020/09/18,2000-06-19 10:43:59.920841,2000-06-19 10:44:26.895591,EDC,Day,   0.00,   0.00,1016,5,    4.555,    3.226,    3.216,9,N,LPGS_15.3.1c, 58.21147329, 145.58769046,,,ETM_L2SP,ETM,7,UTM,31,WGS84,WGS84,-1.0,51°41'42"N,0°21'52.20"E,52°41'12.84"N,0°39'12.24"W,52°17'01.68"N,2°05'46.68"E,51°04'57"N,1°19'27.48"W,50°41'36.24"N,1°20'02.76"E, 51.69500,   0.36450, 52.68690,  -0.65340, 52.28380,   2.09630, 51.08250,  -1.32430, 50.69340,   1.33410,LE07_L2SP_201024_20000619_20200918_02_T1,LE72010242000171EDC00
LE07_L2SP_201025_20000721_20211119_02_T1,LE07_L1TP_201025_20000721_20211119_02_T1,LE72010252000203NSG01,2000/07/21,ON,T1,2,SAM, 201, 025,FULL,2021/11/19,2021/11/19,2000-07-21 10:43:55.121812,2000-07-21 10:44:22.100688,NSG,Day,   7.00,   2.00,494,5,    4.656,    3.404,    3.176,9,N,LPGS_15.5.0, 55.86870000, 143.63298851,NA,,ETM_L2SP,ETM,7,UTM,30,WGS84,WGS84,-1.0,50°16'54.16"N,0°12'42.77"W,51°15'58.39"N,1°12'25.70"W,50°52'36.05"N,1°27'41.15"E,49°39'47.52"N,1°50'41.14"W,49°17'11.40"N,0°44'21.19"E, 50.28171,  -0.21188, 51.26622,  -1.20714, 50.87668,   1.46143, 49.66320,  -1.84476, 49.28650,   0.73922,LE07_L2SP_201025_20000721_20211119_02_T1,LE72010252000203NSG01
LE07_L2SP_201025_20000923_20211121_02_T1,LE07_L1TP_201025_20000923_20211121_02_T1,LE72010252000267NSG02,2000/09/23,ON,T1,2,SAM, 201, 025,FULL,2021/11/21,2021/11/21,2000-09-23 10:43:01.418813,2000-09-23 10:43:28.409438,NSG,Day,   5.00,   3.00,681,5,    4.204,    2.873,    3.069,9,N,LPGS_15.5.0, 37.27923005, 157.83696993,NA,,ETM_L2SP,ETM,7,UTM,30,WGS84,WGS84,-1.0,50°16'57.54"N,0°12'31.82"W,51°16'08.69"N,1°12'15.80"W,50°52'46.34"N,1°27'56.77"E,49°39'56.66"N,1°50'33.04"W,49°17'20.80"N,0°44'34.73"E, 50.28265,  -0.20884, 51.26908,  -1.20439, 50.87954,   1.46577, 49.66574,  -1.84251, 49.28911,   0.74298,LE07_L2SP_201025_20000923_20211121_02_T1,LE72010252000267NSG02
LE07_L2SP_201025_20001228_20200917_02_T1,LE07_L1TP_201025_20001228_20200917_02_T1,LE72010252000363EDC00,2000/12/28,ON,T1,2,, 201, 025,FULL,2020/09/17,2020/09/17,2000-12-28 10:43:00.736941,2000-12-28 10:43:27.739878,EDC,Day,   6.00,   5.00,295,5,    5.664,    4.540,    3.387,9,N,LPGS_15.3.1c, 14.39949254, 161.24239751,,,ETM_L2SP,ETM,7,UTM,30,WGS84,WGS84,-1.0,50°16'58.80"N,0°11'17.88"W,51°16'10.56"N,1°10'55.56"W,50°52'42.60"N,1°29'16.08"E,49°39'39.60"N,1°49'28.56"W,49°16'58.44"N,0°45'37.44"E, 50.28300,  -0.18830, 51.26960,  -1.18210, 50.87850,   1.48780, 49.66100,  -1.82460, 49.28290,   0.76040,LE07_L2SP_201025_20001228_20200917_02_T1,LE72010252000363EDC00
LE07_L2SP_201024_20010113_20200917_02_T1,LE07_L1TP_201024_20010113_20200917_02_T1,LE72010242001013EDC00,2001/01/13,ON,T1,2,, 201, 024,FULL,2020/09/17,2020/09/17,2001-01-13 10:42:38.895943,2001-01-13 10:43:05.90038,EDC,Day,   5.00,   4.00,737,5,    5.882,    4.229,    4.088,9,N,LPGS_15.3.1c, 14.59006911, 159.78087369,,,ETM_L2SP,ETM,7,UTM,31,WGS84,WGS84,-1.0,51°41'42"N,0°25'07.32"E,52°41'05.28"N,0°35'55.68"W,52°16'52.32"N,2°09'07.20"E,51°04'43.32"N,1°16'20.64"W,50°41'20.76"N,1°23'13.56"E, 51.69500,   0.41870, 52.68480,  -0.59880, 52.28120,   2.15200, 51.07870,  -1.27240, 50.68910,   1.38710,LE07_L2SP_201024_20010113_20200917_02_T1,LE72010242001013EDC00
LE07_L2SP_201025_20010113_20200917_02_T1,LE07_L1TP_201025_20010113_20200917_02_T1,LE72010252001013EDC00,2001/01/13,ON,T1,2,, 201, 025,FULL,2020/09/17,2020/09/17,2001-01-13 10:43:02.731818,2001-01-13 10:43:29.736381,EDC,Day,  14.00,   4.00,447,5,    5.177,    3.419,    3.887,9,N,LPGS_15.3.1c, 15.79552567, 159.16055506,,,ETM_L2SP,ETM,7,UTM,30,WGS84,WGS84,-1.0,50°16'58.80"N,0°11'58.20"W,51°16'15.60"N,1°11'38.04"W,50°52'47.28"N,1°28'33.60"E,49°39'46.08"N,1°50'07.44"W,49°17'04.20"N,0°44'58.92"E, 50.28300,  -0.19950, 51.27100,  -1.19390, 50.87980,   1.47600, 49.66280,  -1.83540, 49.28450,   0.74970,LE07_L2SP_201025_20010113_20200917_02_T1,LE72010252001013EDC00
LE07_L2SP_201024_20010214_20200917_02_T1,LE07_L1TP_201024_20010214_20200917_02_T1,LE72010242001045SGS00,2001/02/14,ON,T1,2,, 201, 024,FULL,2020/09/17,2020/09/17,2001-02-14 10:42:35.797261,2001-02-14 10:43:02.805698,SGS,Day,   7.00,   5.00,464,5,    5.483,    3.244,    4.420,9,N,LPGS_15.3.1c, 22.52403782, 156.25616632,,,ETM_L2SP,ETM,7,UTM,31,WGS84,WGS84,-1.0,51°41'42"N,0°24'42.84"E,52°41'14.64"N,0°36'16.20"W,52°17'02.40"N,2°08'45.60"E,51°04'52.68"N,1°16'42.60"W,50°41'31.20"N,1°22'50.16"E, 51.69500,   0.41190, 52.68740,  -0.60450, 52.28400,   2.14600, 51.08130,  -1.27850, 50.69200,   1.38060,LE07_L2SP_201024_20010214_20200917_02_T1,LE72010242001045SGS00
LE07_L2SP_201025_20010214_20200917_02_T1,LE07_L1TP_201025_20010214_20200917_02_T1,LE72010252001045SGS00,2001/02/14,ON,T1,2,, 201, 025,FULL,2020/09/17,2020/09/17,2001-02-14 10:42:59.708761,2001-02-14 10:43:26.717136,SGS,Day,  14.00,   4.00,342,5,    5.072,    3.383,    3.779,9,N,LPGS_15.3.1c, 23.68041783, 155.47701114,,,ETM_L2SP,ETM,7,UTM,30,WGS84,WGS84,-1.0,50°16'58.80"N,0°12'27"W,51°16'10.20"N,1°12'05.76"W,50°52'42.96"N,1°28'04.08"E,49°39'36.72"N,1°50'34.44"W,49°16'56.64"N,0°44'29.76"E, 50.28300,  -0.20750, 51.26950,  -1.20160, 50.87860,   1.46780, 49.66020,  -1.84290, 49.28240,   0.74160,LE07_L2SP_201025_20010214_20200917_02_T1,LE72010252001045SGS00
LE07_L2SP_202024_20010512_20200917_02_T1,LE07_L1TP_202024_20010512_20200917_02_T1,LE72020242001132EDC00,2001/05/12,ON,T1,2,, 202, 024,FULL,2020/09/17,2020/09/17,2001-05-12 10:48:17.141153,2001-05-12 10:48:44.162403,EDC,Day,   0.00,   0.00,1071,5,    4.765,    3.342,    3.397,9,N,LPGS_15.3.1c, 53.59326677, 150.12627016,,,ETM_L2SP,ETM,7,UTM,30,WGS84,WGS84,-1.0,51°41'42"N,1°10'18.12"W,52°41'05.28"N,2°11'23.28"W,52°16'57"N,0°33'38.88"E,51°04'37.92"N,2°51'44.64"W,50°41'20.04"N,0°12'11.88"W, 51.69500,  -1.17170, 52.68480,  -2.18980, 52.28250,   0.56080, 51.07720,  -2.86240, 50.68890,  -0.20330,LE07_L2SP_202024_20010512_20200917_02_T1,LE72020242001132EDC00
LE07_L2SP_201025_20010521_20200917_02_T1,LE07_L1TP_201025_20010521_20200917_02_T1,LE72010252001141EDC00,2001/05/21,ON,T1,2,, 201, 025,FULL,2020/09/17,2020/09/17,2001-05-21 10:42:25.017467,2001-05-21 10:42:52.039904,EDC,Day,  10.00,   4.00,525,5,    4.759,    3.416,    3.313,9,N,LPGS_15.3.1c, 56.50751746, 146.90642832,,,ETM_L2SP,ETM,7,UTM,30,WGS84,WGS84,-1.0,50°16'58.80"N,0°14'36.24"W,51°16'08.40"N,1°14'20.40"W,50°52'45.12"N,1°25'48.72"E,49°39'33.12"N,1°52'43.32"W,49°16'56.64"N,0°42'19.80"E, 50.28300,  -0.24340, 51.26900,  -1.23900, 50.87920,   1.43020, 49.65920,  -1.87870, 49.28240,   0.70550,LE07_L2SP_201025_20010521_20200917_02_T1,LE72010252001141EDC00
LE07_L2SP_202024_20010901_20200917_02_T1,LE07_L1TP_202024_20010901_20200917_02_T1,LE72020242001244EDC00,2001/09/01,ON,T1,2,, 202, 024,FULL,2020/09/17,2020/09/17,2001-09-01 10:47:01.106111,2001-09-01 10:47:28.143174,EDC,Day,   1.00,   1.00,86,5,    5.686,    3.307,    4.626,9,Y,LPGS_15.3.1c, 43.65799805, 153.02198684,,,ETM_L2SP,ETM,7,UTM,30,WGS84,WGS84,-1.0,51°41'42"N,1°10'13.44"W,52°41'09.96"N,2°11'15.72"W,52°17'03.12"N,0°33'47.88"E,51°04'39.72"N,2°51'32.04"W,50°41'23.28"N,0°11'57.84"W, 51.69500,  -1.17040, 52.68610,  -2.18770, 52.28420,   0.56330, 51.07770,  -2.85890, 50.68980,  -0.19940,LE07_L2SP_202024_20010901_20200917_02_T1,LE72020242001244EDC00
