"","Habitat","Pixels_2019","Pixels_2020"
"1","Broadleaved woodland",62084,248498
"2","Coniferous woodland",4112,11755
"3","Arable and horticulture",35991,146390
"4","Improved grassland",248324,975653
"5","Neutral grassland",75,0
"6","Calcareous grassland",158,336
"7","Acid grassland",0,30
"8","Fen, marsh and swamp",0,10
"9","Heather",1329,5
"10","Heather grassland",0,2
"11","Bog",0,0
"12","Inland rock",0,0
"13","Saltwater",0,0
"14","Freshwater",1043,4823
"15","Supralittoral rock",0,0
"16","Supralittoral sediment",0,0
"17","Littoral rock",0,0
"18","Littoral sediment",1,0
"19","Saltmarsh",9,0
"20","Urban",1666,9553
"21","Suburban",29849,141507
